,Id,Type,Mode,Text,Valid,Result
0,1,aaa,1,"All flowers are plants. 
All roses are flowers. 
Therefore, all roses are plants. ",Yes,1
1,2,aaa,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",Yes,1
2,3,aaa,1,"All people are mortals. 
All Greeks are people. 
Therefore, all Greeks are mortals. ",Yes,1
3,4,aae,1,"All flowers are plants. 
All roses are flowers. 
Therefore, no roses are plants. ",No,0
4,5,aae,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
5,6,aae,1,"All people are mortals. 
All Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
6,7,aai,1,"All flowers are plants. 
All roses are flowers. 
Therefore, some roses are plants. ",Yes,1
7,8,aai,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",Yes,1
8,9,aai,1,"All people are mortals. 
All Greeks are people. 
Therefore, some Greeks are mortals. ",Yes,1
9,10,aao,1,"All flowers are plants. 
All roses are flowers. 
Therefore, some roses are not plants. ",No,0
10,11,aao,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
11,12,aao,1,"All people are mortals. 
All Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
12,13,aea,1,"All flowers are plants. 
No roses are flowers. 
Therefore, all roses are plants. ",No,0
13,14,aea,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
14,15,aea,1,"All people are mortals. 
No Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
15,16,aee,1,"All flowers are plants. 
No roses are flowers. 
Therefore, no roses are plants. ",No,0
16,17,aee,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
17,18,aee,1,"All people are mortals. 
No Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
18,19,aei,1,"All flowers are plants. 
No roses are flowers. 
Therefore, some roses are plants. ",No,0
19,20,aei,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
20,21,aei,1,"All people are mortals. 
No Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
21,22,aeo,1,"All flowers are plants. 
No roses are flowers. 
Therefore, some roses are not plants. ",No,0
22,23,aeo,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
23,24,aeo,1,"All people are mortals. 
No Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
24,25,aia,1,"All flowers are plants. 
Some roses are flowers. 
Therefore, all roses are plants. ",No,0
25,26,aia,1,"All mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
26,27,aia,1,"All people are mortals. 
Some Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
27,28,aie,1,"All flowers are plants. 
Some roses are flowers. 
Therefore, no roses are plants. ",No,0
28,29,aie,1,"All mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
29,30,aie,1,"All people are mortals. 
Some Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
30,31,aii,1,"All flowers are plants. 
Some roses are flowers. 
Therefore, some roses are plants. ",Yes,1
31,32,aii,1,"All mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",Yes,1
32,33,aii,1,"All people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are mortals. ",Yes,1
33,34,aio,1,"All flowers are plants. 
Some roses are flowers. 
Therefore, some roses are not plants. ",No,0
34,35,aio,1,"All mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
35,36,aio,1,"All people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
36,37,aoa,1,"All flowers are plants. 
Some roses are not flowers. 
Therefore, all roses are plants. ",No,0
37,38,aoa,1,"All mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
38,39,aoa,1,"All people are mortals. 
Some Greeks are not people. 
Therefore, all Greeks are mortals. ",No,0
39,40,aoe,1,"All flowers are plants. 
Some roses are not flowers. 
Therefore, no roses are plants. ",No,0
40,41,aoe,1,"All mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
41,42,aoe,1,"All people are mortals. 
Some Greeks are not people. 
Therefore, no Greeks are mortals. ",No,0
42,43,aoi,1,"All flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are plants. ",No,0
43,44,aoi,1,"All mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
44,45,aoi,1,"All people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are mortals. ",No,0
45,46,aoo,1,"All flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are not plants. ",No,0
46,47,aoo,1,"All mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
47,48,aoo,1,"All people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are not mortals. ",No,0
48,49,eaa,1,"No flowers are plants. 
All roses are flowers. 
Therefore, all roses are plants. ",No,0
49,50,eaa,1,"No mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
50,51,eaa,1,"No people are mortals. 
All Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
51,52,eae,1,"No flowers are plants. 
All roses are flowers. 
Therefore, no roses are plants. ",Yes,1
52,53,eae,1,"No mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",Yes,1
53,54,eae,1,"No people are mortals. 
All Greeks are people. 
Therefore, no Greeks are mortals. ",Yes,1
54,55,eai,1,"No flowers are plants. 
All roses are flowers. 
Therefore, some roses are plants. ",No,0
55,56,eai,1,"No mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
56,57,eai,1,"No people are mortals. 
All Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
57,58,eao,1,"No flowers are plants. 
All roses are flowers. 
Therefore, some roses are not plants. ",Yes,1
58,59,eao,1,"No mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",Yes,1
59,60,eao,1,"No people are mortals. 
All Greeks are people. 
Therefore, some Greeks are not mortals. ",Yes,1
60,61,eea,1,"No flowers are plants. 
No roses are flowers. 
Therefore, all roses are plants. ",No,0
61,62,eea,1,"No mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
62,63,eea,1,"No people are mortals. 
No Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
63,64,eee,1,"No flowers are plants. 
No roses are flowers. 
Therefore, no roses are plants. ",No,0
64,65,eee,1,"No mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
65,66,eee,1,"No people are mortals. 
No Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
66,67,eei,1,"No flowers are plants. 
No roses are flowers. 
Therefore, some roses are plants. ",No,0
67,68,eei,1,"No mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
68,69,eei,1,"No people are mortals. 
No Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
69,70,eeo,1,"No flowers are plants. 
No roses are flowers. 
Therefore, some roses are not plants. ",No,0
70,71,eeo,1,"No mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
71,72,eeo,1,"No people are mortals. 
No Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
72,73,eia,1,"No flowers are plants. 
Some roses are flowers. 
Therefore, all roses are plants. ",No,0
73,74,eia,1,"No mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
74,75,eia,1,"No people are mortals. 
Some Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
75,76,eie,1,"No flowers are plants. 
Some roses are flowers. 
Therefore, no roses are plants. ",No,0
76,77,eie,1,"No mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
77,78,eie,1,"No people are mortals. 
Some Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
78,79,eii,1,"No flowers are plants. 
Some roses are flowers. 
Therefore, some roses are plants. ",No,0
79,80,eii,1,"No mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
80,81,eii,1,"No people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
81,82,eio,1,"No flowers are plants. 
Some roses are flowers. 
Therefore, some roses are not plants. ",Yes,1
82,83,eio,1,"No mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",Yes,1
83,84,eio,1,"No people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are not mortals. ",Yes,1
84,85,eoa,1,"No flowers are plants. 
Some roses are not flowers. 
Therefore, all roses are plants. ",No,0
85,86,eoa,1,"No mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
86,87,eoa,1,"No people are mortals. 
Some Greeks are not people. 
Therefore, all Greeks are mortals. ",No,0
87,88,eoe,1,"No flowers are plants. 
Some roses are not flowers. 
Therefore, no roses are plants. ",No,0
88,89,eoe,1,"No mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
89,90,eoe,1,"No people are mortals. 
Some Greeks are not people. 
Therefore, no Greeks are mortals. ",No,0
90,91,eoi,1,"No flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are plants. ",No,0
91,92,eoi,1,"No mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
92,93,eoi,1,"No people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are mortals. ",No,0
93,94,eoo,1,"No flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are not plants. ",No,0
94,95,eoo,1,"No mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
95,96,eoo,1,"No people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are not mortals. ",No,0
96,97,iaa,1,"Some flowers are plants. 
All roses are flowers. 
Therefore, all roses are plants. ",No,0
97,98,iaa,1,"Some mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
98,99,iaa,1,"Some people are mortals. 
All Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
99,100,iae,1,"Some flowers are plants. 
All roses are flowers. 
Therefore, no roses are plants. ",No,0
100,101,iae,1,"Some mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
101,102,iae,1,"Some people are mortals. 
All Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
102,103,iai,1,"Some flowers are plants. 
All roses are flowers. 
Therefore, some roses are plants. ",No,0
103,104,iai,1,"Some mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
104,105,iai,1,"Some people are mortals. 
All Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
105,106,iao,1,"Some flowers are plants. 
All roses are flowers. 
Therefore, some roses are not plants. ",No,0
106,107,iao,1,"Some mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
107,108,iao,1,"Some people are mortals. 
All Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
108,109,iea,1,"Some flowers are plants. 
No roses are flowers. 
Therefore, all roses are plants. ",No,0
109,110,iea,1,"Some mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
110,111,iea,1,"Some people are mortals. 
No Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
111,112,iee,1,"Some flowers are plants. 
No roses are flowers. 
Therefore, no roses are plants. ",No,0
112,113,iee,1,"Some mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
113,114,iee,1,"Some people are mortals. 
No Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
114,115,iei,1,"Some flowers are plants. 
No roses are flowers. 
Therefore, some roses are plants. ",No,0
115,116,iei,1,"Some mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
116,117,iei,1,"Some people are mortals. 
No Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
117,118,ieo,1,"Some flowers are plants. 
No roses are flowers. 
Therefore, some roses are not plants. ",No,0
118,119,ieo,1,"Some mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
119,120,ieo,1,"Some people are mortals. 
No Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
120,121,iia,1,"Some flowers are plants. 
Some roses are flowers. 
Therefore, all roses are plants. ",No,0
121,122,iia,1,"Some mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
122,123,iia,1,"Some people are mortals. 
Some Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
123,124,iie,1,"Some flowers are plants. 
Some roses are flowers. 
Therefore, no roses are plants. ",No,0
124,125,iie,1,"Some mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
125,126,iie,1,"Some people are mortals. 
Some Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
126,127,iii,1,"Some flowers are plants. 
Some roses are flowers. 
Therefore, some roses are plants. ",No,0
127,128,iii,1,"Some mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
128,129,iii,1,"Some people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
129,130,iio,1,"Some flowers are plants. 
Some roses are flowers. 
Therefore, some roses are not plants. ",No,0
130,131,iio,1,"Some mammals are warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
131,132,iio,1,"Some people are mortals. 
Some Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
132,133,ioa,1,"Some flowers are plants. 
Some roses are not flowers. 
Therefore, all roses are plants. ",No,0
133,134,ioa,1,"Some mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
134,135,ioa,1,"Some people are mortals. 
Some Greeks are not people. 
Therefore, all Greeks are mortals. ",No,0
135,136,ioe,1,"Some flowers are plants. 
Some roses are not flowers. 
Therefore, no roses are plants. ",No,0
136,137,ioe,1,"Some mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
137,138,ioe,1,"Some people are mortals. 
Some Greeks are not people. 
Therefore, no Greeks are mortals. ",No,0
138,139,ioi,1,"Some flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are plants. ",No,0
139,140,ioi,1,"Some mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
140,141,ioi,1,"Some people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are mortals. ",No,0
141,142,ioo,1,"Some flowers are plants. 
Some roses are not flowers. 
Therefore, some roses are not plants. ",No,0
142,143,ioo,1,"Some mammals are warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
143,144,ioo,1,"Some people are mortals. 
Some Greeks are not people. 
Therefore, some Greeks are not mortals. ",No,0
144,145,oaa,1,"Some flowers are not plants. 
All roses are flowers. 
Therefore, all roses are plants. ",No,0
145,146,oaa,1,"Some mammals are not warm-blooded animals. 
All dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
146,147,oaa,1,"Some people are not mortals. 
All Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
147,148,oae,1,"Some flowers are not plants. 
All roses are flowers. 
Therefore, no roses are plants. ",No,0
148,149,oae,1,"Some mammals are not warm-blooded animals. 
All dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
149,150,oae,1,"Some people are not mortals. 
All Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
150,151,oai,1,"Some flowers are not plants. 
All roses are flowers. 
Therefore, some roses are plants. ",No,0
151,152,oai,1,"Some mammals are not warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
152,153,oai,1,"Some people are not mortals. 
All Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
153,154,oao,1,"Some flowers are not plants. 
All roses are flowers. 
Therefore, some roses are not plants. ",No,0
154,155,oao,1,"Some mammals are not warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
155,156,oao,1,"Some people are not mortals. 
All Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
156,157,oea,1,"Some flowers are not plants. 
No roses are flowers. 
Therefore, all roses are plants. ",No,0
157,158,oea,1,"Some mammals are not warm-blooded animals. 
No dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
158,159,oea,1,"Some people are not mortals. 
No Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
159,160,oee,1,"Some flowers are not plants. 
No roses are flowers. 
Therefore, no roses are plants. ",No,0
160,161,oee,1,"Some mammals are not warm-blooded animals. 
No dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
161,162,oee,1,"Some people are not mortals. 
No Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
162,163,oei,1,"Some flowers are not plants. 
No roses are flowers. 
Therefore, some roses are plants. ",No,0
163,164,oei,1,"Some mammals are not warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
164,165,oei,1,"Some people are not mortals. 
No Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
165,166,oeo,1,"Some flowers are not plants. 
No roses are flowers. 
Therefore, some roses are not plants. ",No,0
166,167,oeo,1,"Some mammals are not warm-blooded animals. 
No dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
167,168,oeo,1,"Some people are not mortals. 
No Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
168,169,oia,1,"Some flowers are not plants. 
Some roses are flowers. 
Therefore, all roses are plants. ",No,0
169,170,oia,1,"Some mammals are not warm-blooded animals. 
Some dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
170,171,oia,1,"Some people are not mortals. 
Some Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
171,172,oie,1,"Some flowers are not plants. 
Some roses are flowers. 
Therefore, no roses are plants. ",No,0
172,173,oie,1,"Some mammals are not warm-blooded animals. 
Some dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
173,174,oie,1,"Some people are not mortals. 
Some Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
174,175,oii,1,"Some flowers are not plants. 
Some roses are flowers. 
Therefore, some roses are plants. ",No,0
175,176,oii,1,"Some mammals are not warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
176,177,oii,1,"Some people are not mortals. 
Some Greeks are people. 
Therefore, some Greeks are mortals. ",No,0
177,178,oio,1,"Some flowers are not plants. 
Some roses are flowers. 
Therefore, some roses are not plants. ",No,0
178,179,oio,1,"Some mammals are not warm-blooded animals. 
Some dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
179,180,oio,1,"Some people are not mortals. 
Some Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
180,181,ooa,1,"Some flowers are not plants. 
Some roses are not flowers. 
Therefore, all roses are plants. ",No,0
181,182,ooa,1,"Some mammals are not warm-blooded animals. 
Some dogs are not mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
182,183,ooa,1,"Some people are not mortals. 
Some Greeks are not people. 
Therefore, all Greeks are mortals. ",No,0
183,184,ooe,1,"Some flowers are not plants. 
Some roses are not flowers. 
Therefore, no roses are plants. ",No,0
184,185,ooe,1,"Some mammals are not warm-blooded animals. 
Some dogs are not mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
185,186,ooe,1,"Some people are not mortals. 
Some Greeks are not people. 
Therefore, no Greeks are mortals. ",No,0
186,187,ooi,1,"Some flowers are not plants. 
Some roses are not flowers. 
Therefore, some roses are plants. ",No,0
187,188,ooi,1,"Some mammals are not warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are warm-blooded animals. ",No,0
188,189,ooi,1,"Some people are not mortals. 
Some Greeks are not people. 
Therefore, some Greeks are mortals. ",No,0
189,190,ooo,1,"Some flowers are not plants. 
Some roses are not flowers. 
Therefore, some roses are not plants. ",No,0
190,191,ooo,1,"Some mammals are not warm-blooded animals. 
Some dogs are not mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
191,192,ooo,1,"Some people are not mortals. 
Some Greeks are not people. 
Therefore, some Greeks are not mortals. ",No,0
192,193,aaa,2,"All plants are flowers. 
All roses are flowers. 
Therefore, all roses are plants. ",No,0
